polarity,subjectivity
0,0
0,0.066666667
0,0
0,0
0,0
0,0
0.215,0.2
0,0
0.285714286,0.535714286
0.7,0.9
0.333333333,0.833333333
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0.333333333,0.833333333
0,0
0,0
0.5,0.5
0.333333333,0.5
0,0
0.170454545,0.5
0,0
0,0
0,0
0.170454545,0.5
0,0
0,0
0.3,0.1
0.333333333,0.833333333
0,0
0.214285714,0.428571429
0,0
-1,1
0.136363636,0.454545455
0,0
0,0
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,1
0,0.4
0.136363636,0.454545455
0.333333333,0.833333333
0,0
0,0
0.15,0.15
0,0
0.5,0.5
0,0
0,0
0.2,0.2
0.170454545,0.5
0,0
0,0.75
0,0
0,1
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,0.5
0,0
0,0
0.8,0.75
0,0.75
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.4
0.170454545,0.5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
-0.5,0.5
0.333333333,0.833333333
0.175,0.825
0,0
0,0
0.3,0
0,0
0,0
0,0
0.475,0.5125
0.15,0.425
0.5,0.5
0,0
0,0
0.475,0.5125
0.218181818,0.227272727
0.25,0.333333333
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,0
0,0
0.433333333,0.733333333
0,0
0,0
0,0
0.3,0.1
0,0
0.136363636,0.454545455
0.333333333,0.833333333
-0.25,0.708333333
0,0.75
0,0
0.15,0.425
-0.5,0.5
0,0
0.8,1
0,0
0,0
0.357954545,0.416666667
0,0
0,0
0,0
0,0
0,0
0,0
0,0.377777778
0.136363636,0.454545455
0,0.75
0.333333333,0.833333333
0,0
0,0
0.5,0.5
0,0
0.15,0.15
0.2,0.2
0,0
0,0
0,0
0.5,0.5
0,0
0,0.5
0,0
0.5,0.5
0,0
0.7,0.6
0,0
0,0
0,0
0.357142857,0.535714286
0,0
0,0
0.136363636,0.454545455
0,0
0,0.4
0,0
0,0
0,0
0.170454545,0.5
0,0
0,0
0,0
0,0
0,0
0.136363636,0.454545455
0,0
-0.25,0.25
0,0
0,0
0,0
-0.155555556,0.288888889
-0.155555556,0.288888889
0,0
0,0
0.125,0.166666667
0.7,0.6
0.7,0.6
0,0
0,0
0,0
0.8,0.9
0,0
0,0
0,0
0,0
0.136363636,0.5
0,0
0,0
0,0
0,0.75
0,0
0,0
0.4,0.425
0,0
0,0
0.148181818,0.497272727
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0.15,0.15
0,0
-0.166666667,0.322222222
0,0
0,0
0.15,0.425
0,0
0,0.75
0,0
0.136363636,0.454545455
0.4,0.3
0.136363636,0.454545455
0,0
0.170454545,0.5
0,0
0,0
0.25,0.825
0,0
0.5,0.5
0,0
0,0
0,0
0,0
0.411111111,0.611111111
0,0
-0.031818182,0.427272727
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0.333333333,0.8
0,0
0,0
0,0
0,0
0,0
0.136363636,0.454545455
0.5,0.5
0.15,0.15
0,0.5
0,0.75
0,0
0,0
0.25,0.283333333
0.5,0.5
0,0.5
0.5,0.5
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,0.75
0,0
0,0
0,0
0,0
0,0.1
0,0
0,0
0,0
0,0
-0.041666667,0.5
0,0
0,0.75
0,0
0,0
-0.031818182,0.427272727
0,0.75
0,0
0.15,0.425
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0.5
0,0
0.170454545,0.5
0.1,1
0.45,0.5
0,0
0,0
0,0
0.033333333,0.066666667
0,0
0,0
0,0
0.433333333,0.733333333
0.15,0.15
0,0
0,0
0,0
0.15,0.425
0.15,0.425
0,0.5
0,0.5
-0.5,0.5
0,0
0,0
0.5,0.5
0.15,0.425
0,0
0,0
0,0
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,0.5
0,0
-0.1,0.2
0.15,0.15
0,0
0,0
0,0
0,0
0,0
0,0
1,0.3
0,0
0,0
0,0
0,0
0.671666667,0.756666667
0.15,0.425
0,0
0,0
0,0
0,0.1
0,0
0,0
0.5,0.5
0,0
0.4,0.5125
0,0
0,0
0,0
0,0
0.175,0.825
0,0
0,0
0.15,0.15
0,0
0,0
0.1,0.25
0.5,0.5
0,0
0,0
0,0
0,0
0.1,0.1
0,0
0,0
0,0
0,0
-0.8,0.9
0.5,0.5
0.366666667,0.583333333
0,0
0.5,0.5
0,0
0.5,0.5
0,0
-0.25,0.25
0,0.5
0,0
0,0
0,0
0,0
0,0.4
0,0
0,0
0,0
0,0
0.356534091,0.75
0,0
0.1,0.3
0,0.75
0.033333333,0.066666667
0.333333333,0.833333333
0,0
0.580833333,0.703333333
0,0
0,0.5
0,0
0.136363636,0.454545455
0,0.75
0,0
0,0
0,0
0,0
0,0
0,0
0.333333333,0.8
0.5,0.5
0,0
0,0
0,0
0.3,0.1
0,0
0,0
0,0
0,0
0.136363636,0.5
0,0
0.333333333,0.833333333
0,0
0,0
0.575,0.58125
0,0
0,0
0,0
0.136363636,0.454545455
0,0
0,0
0,0
0.15,0.425
